Id,Predicted
0,0.00
1,0.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,0.00
8,1.00
9,1.00
10,0.00
11,1.00
12,0.00
13,1.00
14,1.00
15,1.00
16,1.00
17,0.00
18,1.00
19,0.00
20,0.00
21,1.00
22,1.00
23,1.00
24,1.00
25,1.00
26,1.00
27,0.00
28,1.00
29,1.00
30,1.00
31,1.00
32,1.00
33,1.00
34,0.00
35,1.00
36,0.00
37,1.00
38,1.00
39,0.00
40,1.00
41,1.00
42,0.00
43,1.00
44,1.00
45,0.00
46,1.00
47,1.00
48,0.00
49,1.00
50,1.00
51,1.00
52,0.00
53,0.00
54,0.00
55,0.00
56,1.00
57,0.00
58,1.00
59,1.00
60,0.00
61,1.00
62,1.00
63,1.00
64,1.00
65,0.00
66,1.00
67,1.00
68,1.00
69,0.00
70,1.00
71,0.00
72,1.00
73,1.00
74,1.00
75,1.00
76,0.00
77,0.00
78,1.00
79,0.00
80,1.00
81,0.00
82,1.00
83,1.00
84,1.00
85,1.00
86,0.00
87,1.00
88,0.00
89,1.00
90,1.00
91,1.00
92,1.00
93,0.00
94,0.00
95,1.00
96,1.00
97,0.00
98,1.00
99,1.00
100,0.00
101,1.00
102,1.00
103,1.00
104,0.00
105,0.00
106,0.00
107,1.00
108,0.00
109,1.00
110,1.00
111,1.00
112,0.00
113,1.00
114,1.00
115,1.00
116,1.00
117,1.00
118,1.00
119,0.00
120,0.00
121,1.00
122,0.00
123,0.00
124,0.00
125,0.00
126,1.00
127,1.00
128,0.00
129,1.00
130,1.00
131,1.00
132,1.00
133,0.00
134,1.00
135,0.00
136,1.00
137,0.00
138,0.00
139,1.00
140,1.00
141,1.00
142,1.00
143,0.00
144,0.00
145,1.00
146,1.00
147,1.00
148,1.00
149,0.00
150,0.00
151,0.00
152,0.00
153,0.00
154,0.00
155,0.00
156,1.00
157,0.00
158,0.00
159,1.00
160,0.00
161,0.00
162,1.00
163,0.00
164,1.00
165,0.00
166,0.00
167,0.00
168,0.00
169,1.00
170,1.00
171,1.00
172,0.00
173,0.00
174,0.00
175,1.00
176,0.00
177,1.00
178,0.00
179,1.00
180,1.00
181,1.00
182,1.00
183,1.00
184,1.00
185,1.00
186,0.00
187,1.00
188,1.00
189,1.00
190,0.00
191,0.00
192,1.00
193,0.00
194,1.00
195,0.00
196,1.00
197,1.00
198,1.00
199,0.00
200,0.00
201,0.00
202,1.00
203,0.00
204,1.00
205,1.00
206,0.00
207,1.00
208,0.00
209,1.00
210,0.00
211,0.00
212,1.00
213,1.00
214,1.00
215,0.00
216,0.00
217,1.00
218,0.00
219,1.00
220,1.00
221,1.00
222,1.00
223,1.00
224,1.00
225,0.00
226,1.00
227,1.00
228,1.00
229,0.00
230,0.00
231,1.00
232,1.00
233,1.00
234,1.00
235,0.00
236,0.00
237,1.00
238,1.00
239,1.00
240,0.00
241,0.00
242,0.00
243,1.00
244,0.00
245,1.00
246,1.00
247,1.00
248,1.00
249,0.00
250,1.00
251,1.00
252,1.00
253,0.00
254,0.00
255,0.00
256,0.00
257,1.00
258,1.00
259,1.00
260,0.00
261,0.00
262,1.00
263,1.00
264,1.00
265,1.00
266,0.00
267,1.00
268,1.00
269,0.00
270,0.00
271,1.00
272,0.00
273,1.00
274,1.00
275,1.00
276,1.00
277,0.00
278,0.00
279,0.00
280,0.00
281,1.00
282,0.00
283,1.00
284,0.00
285,1.00
286,1.00
287,1.00
288,1.00
289,0.00
290,0.00
291,0.00
292,1.00
293,1.00
294,0.00
295,0.00
296,1.00
297,1.00
298,0.00
299,1.00
300,0.00
301,0.00
302,1.00
303,1.00
304,1.00
305,1.00
306,0.00
307,0.00
308,1.00
309,0.00
310,1.00
311,0.00
312,0.00
